global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	c_comp_cor_00	c_comp_cor_01	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	a_comp_cor_00	a_comp_cor_01	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01
2965.370147210765	n/a	n/a	8793420.109968795	5397.131178790239	n/a	n/a	29129024.96106971	2559.6009754896163	n/a	6551557.153727395	n/a	5383.361436195103	3397.7316492920527	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0108277	n/a	0.00011723908729	n/a	0.0137888	n/a	0.00019013100544	n/a	0.0441675	n/a	0.00195076805625	n/a	0.00134244	n/a	1.8021451536000003e-06	n/a	-0.00041328	n/a	1.708003584e-07	n/a	0.000577047	n/a	3.329832402090001e-07	n/a	0.0	0.0
3566.0155435355587	600.6453963247936	360774.8921261684	12716466.856737206	8077.923012476683	2680.791833686444	7186644.855559927	65252840.19550037	2605.303491645768	45.70251615615189	6787606.283581631	2088.719983003324	8080.382553561581	4638.6434099144135	6.984995	331.450287	0.4491962	0.189874	-0.2543437597	0.1661317924	-0.4558647208	0.1444839065	-0.3980140337	0.0515486381	-0.1391051827	-0.4648992604	0.1165134292	-0.3780154582	0.3466984851	0.1572929136	0.3153804423	-0.4360891044	-0.5326064066	-0.0893438806	-0.0195476825	-0.1746163152	0.316227766	0.0	-0.0529779	-0.0638056	0.00280665788841	0.00407115459136	-0.0144367	-0.0282255	0.00020841830689	0.00079667885025	-0.0979698	-0.1421373	0.00959808171204	0.02020301205129	-0.000147315	-0.001489755	2.1701709225e-08	2.2193699600250004e-06	0.000938502	0.001351782	8.807860040040001e-07	1.827314575524e-06	-0.0008819719999999	-0.0014590189999999	7.778746087838236e-07	2.1287364423607085e-06	1.0	0.0
3565.215380131512	-0.8001634040465433	0.6402614731753516	12710760.706726285	8077.524557634336	-0.3984548423468368	0.1587662613896426	65246402.979185775	2601.354350162688	-3.949141483079984	6767044.455110342	15.595718453383176	8070.9001202219715	4651.580957668726	0.787953	37.389748	0.18664864	0.109109	-0.4586203801	-0.0414306752	-0.3109250033	-0.4142405495	-0.3312560974	0.0871801086	0.3784483269	-0.3016164011	-0.4023669938	-0.3578805082	0.3273108217	0.0559120179	0.1931956511	0.1744882988	0.6142632964	-0.373189185	0.0014222289	0.2780300348	0.316227766	0.0	0.00334259	0.05632049	1.11729079081e-05	0.0031719975938401	-0.0146183	-0.0001816	0.00021369469489	3.2978560000000184e-08	-0.12694	-0.0289702	0.0161137636	0.00083927248804	0.000157299	0.000304614	2.4742975401000006e-08	9.278968899600003e-08	0.0016547	0.000716198	2.73803209e-06	5.12939575204e-07	0.000120743	0.0010027149999999	1.4578872049e-08	1.0054373712247994e-06	0.0	0.0
3558.4504024560947	-6.764977675417413	45.76492294889598	12662569.266739942	8083.25817158187	5.73361394753374	32.87432889935344	65339062.66844507	2600.7795719612213	-0.5747782014668701	6764054.381930794	0.3303699808814899	8112.952389844362	4634.094836533558	0.793564	37.656013	0.154269165	0.0729521999999999	-0.1713069517	0.237593726	-0.2513655223	0.0356862152	-0.3184147572	-0.1865696213	0.1036645868	-0.2501275687	0.0903313651	-0.3049639789	0.0579410527	0.1712017246	-0.2075685503	0.2514122963	0.1866319625	0.6648246968	-0.2029330992	-0.3873392828	0.316227766	0.0	-0.0307304	-0.03407299	0.00094435748416	0.0011609686475401	-0.0240622	-0.0094438999999999	0.0005789894688399	8.918724720999996e-05	-0.0752995999999999	0.0516404000000001	0.0056700297601599	0.00266673091216	-7.56495e-05	-0.0002329485	5.72284685025e-09	5.426500365225001e-08	0.0022283	0.0005735999999999	4.96532089e-06	3.2901695999999984e-07	-0.000254946	-0.000375689	6.499746291599999e-08	1.41142224721e-07	0.0	0.0
3562.106777715208	3.656375259113247	13.369080035455465	12688604.695844622	8073.98398852204	-9.274183059829738	86.01047142723289	65189217.44691027	2598.670594910213	-2.108977051008424	6753088.860851	4.447784201680187	8081.481429951124	4632.697301116635	0.679834	32.259338	0.079625925	0.0422511	-0.1088930798	0.2496253747	-0.2678000551	0.2774503666	-0.2512109106	-0.1043809499	-0.1227876768	-0.3119529364	0.3317414217	-0.2298654955	-0.1483165576	0.0502821198	-0.4452452102	0.2570128026	-0.3193706974	-0.0419385539	0.6021770443	0.3032543585	0.316227766	0.0	-0.0616646	-0.0309342	0.00380252289316	0.00095692472964	-0.0244255	-0.0003633	0.00059660505025	1.3198689000000032e-07	-0.0714603	0.0038392999999998	0.00510657447609	1.4740224489999175e-05	-0.000147315	-7.16655e-05	2.1701709225e-08	5.135943890249999e-09	0.00283338	0.00060508	8.0280422244e-06	3.661218064e-07	-0.000467983	-0.000213037	2.19008088289e-07	4.5384763369000003e-08	0.0	0.0
3568.678734795916	6.571957080708216	43.19061987067087	12735467.91218458	8073.461768852598	-0.5222196694421655	0.2727133831522845	65180784.93312452	2603.1376924151464	4.467097504933463	6776325.845672453	19.95496011858277	8066.420624111733	4587.938078821927	0.850466	40.35611	0.09270115	0.0498682	0.047508555	0.5036118372	-0.1932504974	0.1543756249	-0.1093198845	0.0093271188	-0.7171918171	-0.1505422022	-0.0375877157	-0.1733982759	-0.5269083301	-0.200453925	-0.3360060745	-0.549246557	0.1961292981	-0.1650839544	-0.2679960287	0.0023929236	0.316227766	0.0	-0.0305459	0.0311187	0.00093305200681	0.0009683734896899	-0.0100372	0.0143883	0.00010074538384	0.00020702317689	-0.052688	0.0187723	0.002776025344	0.00035239924729	-0.000147315	0.0	2.1701709225e-08	0.0	0.00318878	0.0003554	1.01683178884e-05	1.2630916000000005e-07	-0.000254946	0.000213037	6.499746291599999e-08	4.5384763369000003e-08	0.0	0.0
3566.3623841782314	-2.316350617684748	5.365480184048512	12718940.65528144	8069.911014604905	-3.5507542476925664	12.607855727506804	65123463.78364157	2594.489793771789	-8.647898643357166	6731377.289985981	74.78615094577872	8092.177226801843	4595.441132359085	0.99884	47.396729	0.11895874	0.0635701	-0.1971428921	-0.1321406496	0.0510333187	-0.4719783886	-0.0442981641	0.512065982	0.35872564	0.1035261814	-0.5868806833	-0.0354148626	-0.345697848	-0.5548406067	0.5318794201	0.3567796539	-0.1885663282	0.0986111465	-0.1054472701	0.0693015336	0.316227766	0.0	-0.072214	-0.0416681	0.005214861796	0.00173623055761	0.00268324	0.01272044	7.1997768976e-06	0.0001618095937936	-0.0681731	-0.0154851	0.00464757156361	0.00023978832201	-0.000147315	0.0	2.1701709225e-08	0.0	0.00351156	0.0003227799999999	1.23310536336e-05	1.0418692839999996e-07	-0.000913868	-0.0006589219999999	8.35154721424e-07	4.341782020839999e-07	0.0	0.0
3530.709181171978	-35.653203006253534	1271.150884605126	12465907.3220121	8015.378565127929	-54.53244947697658	2973.7880459590037	64246293.54231225	2584.611476392973	-9.878317378816064	6680216.483902264	97.58115423661948	8076.12403259428	4438.957605786743	1.444267	68.533005	0.55281131	0.27171	0.7635791675	0.2575712509	0.371343453	0.5349599899	0.5006754746	0.5705261064	-0.1368747225	0.4190536139	0.2383419478	0.3313766141	-0.4080705097	0.7195821787	0.2587557784	0.1167730777	-0.0062548449	-0.1452065485	-0.0563389271	-0.0313184097	0.316227766	0.0	-0.231714	-0.1595	0.053691377796	0.02544025	0.0203089	0.01762566	0.00041245141921	0.0003106638904356	0.120206	0.1883791	0.0144494824359999	0.03548668531681	-0.000559554	-0.000412239	3.13100678916e-07	1.69940993121e-07	0.00628292	0.00277136	3.94750837264e-05	7.6804362496e-06	-0.0014764	-0.000562532	2.1797569600000004e-06	3.164422510240002e-07	0.0	1.0
3564.400898697191	33.691717525213335	1135.1318297987673	12704953.766633345	8064.452707953556	49.07414282562695	2408.271494070033	65035397.47881944	2609.7946293036143	25.183152910641184	6811028.00714199	634.1911905207355	8109.927730082427	4652.056364232155	1.143363	54.254578	0.213301955	0.112058	0.1738741587	-0.4299719906	0.4190476639	-0.1621688217	0.3386803345	-0.3813077189	-0.1258886842	0.3983525151	-0.0526884008	0.416159988	0.2539625074	-0.0283478503	0.0259799474	-0.3052545093	0.0446749225	0.468928494	-0.032123263	0.587139975	0.316227766	0.0	-0.27017	-0.038456	0.0729918289	0.001478863936	0.0166167	-0.0036921999999999	0.00027611471889	1.3632340839999998e-05	0.0435111	-0.0766949	0.0018932158232099	0.00588210768601	9.61231e-05	0.0006556770999999	9.23965035361e-09	4.2991245946440994e-07	0.00703693	0.00075401	4.951838382490001e-05	5.685310801000004e-07	-0.00195589	-0.0004794899999999	3.8255056921e-06	2.2991066009999998e-07	0.0	0.0
3575.642857269529	11.241958572337808	126.38163254215952	12785221.8427426	8078.623934976271	14.171227022715357	200.823675329338	65264164.68277149	2603.845784191858	-5.948845111756327	6780012.867853712	35.38875816366715	8119.727627711099	4631.730970268122	0.7623029999999998	36.172604	0.159553305	0.0764578	0.1670222284	-0.3859723417	0.2754055659	0.2382421285	0.3000792754	-0.4449432442	0.3641633922	0.2100034458	0.5084438037	0.3442011842	0.3239970636	-0.1354158555	-0.3938895411	0.2965636601	-0.2485581023	-0.3568639894	-0.4623025245	-0.1107174659	0.316227766	0.0	-0.231464	0.038706	0.053575583296	0.001498154436	-0.0162518	-0.0328685	0.00026412100324	0.00108033829225	0.0723955	0.0288844	0.00524110842025	0.00083430856336	-0.000147315	-0.0002434381	2.1701709225e-08	5.926210853161e-08	0.00684981	-0.00018712	4.691989703609999e-05	3.5013894400000256e-08	-0.00120456	0.00075133	1.4509647936e-06	5.644967689000002e-07	0.0	0.0
